id;name;type
E7A0C131-EA42-699F-9015-C2E344637CB9;MyGroup00;security
BECFE93A-704F-B8CD-D267-B40D9D45EB8D;MyGroup01;distrbution
48F5E274-D9D5-753D-F392-3C3C0C2B8702;MyGroup02;distrbution
5E8462F7-A499-0D6C-9343-9707BC2126C5;MyGroup03;distrbution
BC368671-CB88-B54C-9A42-7403A96DB83E;MyGroup04;distrbution
98ACB1BC-9B2D-E611-E9D4-03DEBB7D0ED1;MyGroup05;distrbution
FDA956CE-0FA7-750B-B3D8-5AD73D6698FB;MyGroup06;security
A2CF41C7-E2BB-F68F-03FA-ECD068A23CA7;MyGroup07;security
BA68A5E0-A497-59E5-75BB-D734C06153D0;MyGroup08;security
FDF9FE87-B684-8F6C-574A-B397B6E33FC5;MyGroup09;distrbution
8691BC02-5EB1-936C-FB60-74E6B34C2B01;MyGroup10;security
525595F2-485E-C373-9B99-3E5FBC0C8CC9;MyGroup11;distrbution
C77567B7-557F-B3BD-39BD-67BB327107EC;MyGroup12;security
AD4FC17C-7EEF-58CC-324C-4ED9B1893B6C;MyGroup13;distrbution
870ED314-D833-69AF-A1CC-A6C20474E91A;MyGroup14;distrbution
450766A2-A3EC-1B81-C922-330874B7FA67;MyGroup15;distrbution
448D68B0-5F0B-3476-944D-8E9227E2960D;MyGroup16;distrbution
E96DD88F-B489-18D4-2C28-9ACD2961B550;MyGroup17;distrbution
2850A9F8-E182-710C-72B9-51BF1630D852;MyGroup18;distrbution
A969D7CB-1763-434A-1920-1D98023A60D0;MyGroup19;security
B9BCC58B-FB6A-D2F6-EA63-2926996DE25C;MyGroup20;security
