id;name
A7299102-3785-04EF-72C0-E81A8C8B73AF;subscription00
5877711F-2CAF-9A1A-6270-7A92590CAD06;subscription01
16EE8835-DC23-0582-DF33-4E55464067BE;subscription02
196BD1A0-4D17-F4E2-F23D-D2E892C42DFD;subscription03
D43E7D31-5C17-D149-AF01-1750D8FFBAB1;subscription04
7C3935DA-E430-583B-B32B-7AF8F14AD804;subscription05
D3213431-5DB3-22C1-464A-DA7E195C23B7;subscription06
0AB0F66B-69BD-D3F7-BA9E-4AE94A4EC4CA;subscription07
A218BEBF-E483-61E7-2538-C3795324B63B;subscription08
BC423FB4-B53F-9B6C-C07D-96021ED68085;subscription09
3EA37BA8-E9D4-0B3A-F0AE-6ED0399BB9F6;subscription10
856204E3-FF06-8FB8-4EDE-28EF182C4F62;subscription11
19EED96D-C39C-682D-30B4-E3FA3247ED30;subscription12
365CC50D-3DEA-C9CC-77AF-845128F79B90;subscription13
8D0AF326-8F15-0840-130E-89A024E94ECD;subscription14
61960210-CD9B-83B7-C22C-774A27EB040D;subscription15
