id;name
71C4F2DE-1F21-B9CF-2932-C5A516FE46BF;resouce-group-00
4B4021D2-442C-C8E6-EEF3-6F69D98BF30E;resouce-group-01
FD3EEAF9-DEE0-357A-056D-BA1D326DC17A;resouce-group-02
60D2B689-2739-23DC-5F9C-08C6C7F5DDE6;resouce-group-03
753C4408-B07C-21A0-2AF5-143D786F2356;resouce-group-04
6495E861-DE7F-2D69-3941-A55B35768F9C;resouce-group-05
CDE2C582-7C5B-3F5B-187D-558CF10D3E79;resouce-group-06
533EF977-0297-7CC2-1397-E78977EC683F;resouce-group-07
CCA538A7-8E97-FF76-F394-ED9F0DB53757;resouce-group-08
55695508-158C-C0D4-071A-5E7FB135C1F7;resouce-group-09
4C2632D5-A9CA-675C-5752-D19BAE05110D;resouce-group-10
1F49D9BA-403A-DCF2-A29C-6E481BEB2090;resouce-group-11
61297DE4-43C5-CB38-65D6-5892E41159A5;resouce-group-12
E5A0B8B1-E225-F612-B059-75120398DCF6;resouce-group-13
5E835C70-3AAE-989F-9EF3-1F69AF1D7D8E;resouce-group-14
7738746E-BCC0-73D0-5363-14C0DF0B47BA;resouce-group-15
314837F3-9C1B-AA37-FDFF-C1E2A23D244E;resouce-group-16
AF094D7D-0116-9151-61A1-EFE1DDA3791D;resouce-group-17
B3AC805D-5A2E-5203-495E-E74AF03B5B4E;resouce-group-18
A878F67E-4DFF-BC29-F040-6E29091FB15A;resouce-group-19
7ED1EE4B-9EF7-E2AC-4CB7-655A503B4877;resouce-group-20
3FFE1D2C-95FB-594E-EEE3-5B2087743AF8;resouce-group-21
4FBB7B1D-F0B8-7333-8374-3D7E89B4B6C2;resouce-group-22
4E133F29-C679-4346-291B-E5BFAB5F5340;resouce-group-23
327E6D04-9A1E-60D4-E8F6-36213B8B9196;resouce-group-24
75AA3E9B-C162-DA9F-61FA-E173F19EFCD8;resouce-group-25
CB32FF78-F54A-3791-9231-55C0BAE45819;resouce-group-26
11D0DD3F-48E1-11D8-5443-C623DB1064F2;resouce-group-27
107D660C-735A-D08D-2245-0C8E19944C75;resouce-group-28
6E232E2E-6106-75DD-CEBB-87D413A96AF2;resouce-group-29
1A3C8034-6754-3B54-C5B5-B30012F4B84E;resouce-group-30
DF61DA9E-CD7A-AD8F-6048-703D6A07EC48;resouce-group-31
49F6659A-4B4D-1417-84D4-1F261FBBF4C5;resouce-group-32
CF512076-1051-2B76-AD15-D582DB799F14;resouce-group-33
C659D3D3-F900-42DA-8BBF-937A98DFAF8A;resouce-group-34
5042D883-810F-6DA2-B8CA-41AC1D7AB5FB;resouce-group-35
0B2C4A9D-E312-DA91-738E-69F47E6F64C2;resouce-group-36
FECF93C2-BBD8-8502-D040-2771220C590C;resouce-group-37
5B8D8B99-88B9-6278-DFFC-1B44F35D69DE;resouce-group-38
BD084152-C572-5636-60D2-DC3715423590;resouce-group-39
B574D1F1-033F-D244-5BF0-0F3DF3A7C2B4;resouce-group-40
